fixed acidity,volatile acidity,citric acid,pH,sulphates,alcohol,quality,type,pH_bin_5,pH_bin_10
7.9,0.31,0.32,3.41,0.56,12.6,6,Red,"(3.236, 3.494]","(3.365, 3.494]"
6.4,0.795,0.0,3.49,0.52,11.6,5,Red,"(3.236, 3.494]","(3.365, 3.494]"
7.2,0.34,0.21,3.37,0.54,10.1,6,Red,"(3.236, 3.494]","(3.365, 3.494]"
7.1,0.59,0.0,3.42,0.55,11.5,7,Red,"(3.236, 3.494]","(3.365, 3.494]"
7.3,0.55,0.01,3.35,0.58,11.0,7,Red,"(3.236, 3.494]","(3.236, 3.365]"
8.1,0.82,0.0,3.36,0.53,9.6,5,Red,"(3.236, 3.494]","(3.236, 3.365]"
7.5,0.57,0.08,3.3,0.59,10.4,6,Red,"(3.236, 3.494]","(3.236, 3.365]"
8.9,0.745,0.18,3.2,0.47,9.7,6,Red,"(2.978, 3.236]","(3.107, 3.236]"
10.1,0.37,0.34,3.17,0.65,10.6,7,Red,"(2.978, 3.236]","(3.107, 3.236]"
7.6,0.31,0.34,3.22,0.59,12.5,7,Red,"(2.978, 3.236]","(3.107, 3.236]"
7.3,0.91,0.1,3.35,0.56,9.2,5,Red,"(3.236, 3.494]","(3.236, 3.365]"
8.7,0.41,0.41,3.24,0.77,12.6,7,Red,"(3.236, 3.494]","(3.236, 3.365]"
8.9,0.5,0.21,3.33,0.83,11.1,6,Red,"(3.236, 3.494]","(3.236, 3.365]"
7.4,0.965,0.0,3.58,0.67,10.2,5,Red,"(3.494, 3.752]","(3.494, 3.623]"
6.9,0.49,0.19,3.38,0.64,9.8,6,Red,"(3.236, 3.494]","(3.365, 3.494]"
9.5,0.39,0.41,3.29,0.81,10.9,7,Red,"(3.236, 3.494]","(3.236, 3.365]"
6.4,0.39,0.33,3.36,0.62,12.2,6,Red,"(3.236, 3.494]","(3.236, 3.365]"
6.9,0.44,0.0,3.32,0.58,11.4,6,Red,"(3.236, 3.494]","(3.236, 3.365]"
7.6,0.78,0.0,3.31,0.62,10.7,6,Red,"(3.236, 3.494]","(3.236, 3.365]"
7.1,0.43,0.17,3.49,0.64,10.4,5,Red,"(3.236, 3.494]","(3.365, 3.494]"
9.3,0.49,0.36,3.27,0.78,10.9,6,Red,"(3.236, 3.494]","(3.236, 3.365]"
9.3,0.5,0.36,3.27,0.77,10.8,6,Red,"(3.236, 3.494]","(3.236, 3.365]"
8.5,0.46,0.59,3.03,1.34,9.2,5,Red,"(2.978, 3.236]","(2.978, 3.107]"
5.6,0.605,0.05,3.56,0.55,12.9,5,Red,"(3.494, 3.752]","(3.494, 3.623]"
8.3,0.33,0.42,3.38,0.77,12.7,7,Red,"(3.236, 3.494]","(3.365, 3.494]"
8.2,0.64,0.27,3.13,0.62,9.1,6,Red,"(2.978, 3.236]","(3.107, 3.236]"
8.9,0.48,0.53,3.21,0.59,12.1,7,Red,"(2.978, 3.236]","(3.107, 3.236]"
7.6,0.42,0.25,3.15,0.57,9.1,5,Red,"(2.978, 3.236]","(3.107, 3.236]"
9.9,0.53,0.57,3.19,0.76,11.6,7,Red,"(2.978, 3.236]","(3.107, 3.236]"
11.6,0.23,0.57,3.14,0.7,9.9,6,Red,"(2.978, 3.236]","(3.107, 3.236]"
9.1,0.4,0.5,3.21,0.69,12.5,8,Red,"(2.978, 3.236]","(3.107, 3.236]"
8.0,0.38,0.44,3.3,0.64,11.4,6,Red,"(3.236, 3.494]","(3.236, 3.365]"
10.2,0.29,0.65,3.22,0.63,11.8,6,Red,"(2.978, 3.236]","(3.107, 3.236]"
8.2,0.74,0.09,3.28,0.57,11.8,6,Red,"(3.236, 3.494]","(3.236, 3.365]"
7.7,0.61,0.18,3.29,0.6,10.2,6,Red,"(3.236, 3.494]","(3.236, 3.365]"
6.6,0.52,0.08,3.4,0.72,12.5,7,Red,"(3.236, 3.494]","(3.365, 3.494]"
11.1,0.31,0.53,3.02,0.83,10.9,7,Red,"(2.978, 3.236]","(2.978, 3.107]"
8.0,0.62,0.35,3.31,0.62,10.8,5,Red,"(3.236, 3.494]","(3.236, 3.365]"
9.3,0.33,0.45,3.18,0.89,11.1,7,Red,"(2.978, 3.236]","(3.107, 3.236]"
7.5,0.77,0.2,3.2,0.58,9.2,5,Red,"(2.978, 3.236]","(3.107, 3.236]"
7.2,0.35,0.26,3.4,0.58,9.5,6,Red,"(3.236, 3.494]","(3.365, 3.494]"
8.0,0.62,0.33,3.31,0.58,10.7,6,Red,"(3.236, 3.494]","(3.236, 3.365]"
9.1,0.25,0.34,3.44,0.86,10.2,7,Red,"(3.236, 3.494]","(3.365, 3.494]"
9.9,0.32,0.56,3.15,0.73,11.4,6,Red,"(2.978, 3.236]","(3.107, 3.236]"
8.6,0.37,0.65,3.27,0.58,11.0,5,Red,"(3.236, 3.494]","(3.236, 3.365]"
7.9,0.3,0.68,3.01,0.51,12.3,7,Red,"(2.978, 3.236]","(2.978, 3.107]"
10.3,0.27,0.56,3.16,0.51,11.8,6,Red,"(2.978, 3.236]","(3.107, 3.236]"
7.9,0.3,0.68,3.01,0.51,12.3,7,Red,"(2.978, 3.236]","(2.978, 3.107]"
7.2,0.38,0.3,3.42,0.59,9.5,6,Red,"(3.236, 3.494]","(3.365, 3.494]"
8.7,0.42,0.45,3.33,0.77,12.0,6,Red,"(3.236, 3.494]","(3.236, 3.365]"
6.8,0.48,0.08,3.12,0.49,9.6,5,Red,"(2.978, 3.236]","(3.107, 3.236]"
8.5,0.34,0.4,3.38,0.66,11.6,7,Red,"(3.236, 3.494]","(3.365, 3.494]"
7.9,0.19,0.42,3.29,0.69,11.2,6,Red,"(3.236, 3.494]","(3.236, 3.365]"
11.6,0.41,0.54,3.02,0.76,9.9,7,Red,"(2.978, 3.236]","(2.978, 3.107]"
10.0,0.26,0.54,2.98,0.63,11.8,8,Red,"(2.978, 3.236]","(2.978, 3.107]"
7.9,0.34,0.42,3.35,0.6,11.4,6,Red,"(3.236, 3.494]","(3.236, 3.365]"
7.0,0.54,0.09,3.43,0.59,11.5,6,Red,"(3.236, 3.494]","(3.365, 3.494]"
9.2,0.31,0.36,3.33,0.86,12.0,7,Red,"(3.236, 3.494]","(3.236, 3.365]"
6.6,0.725,0.09,3.35,0.49,10.8,6,Red,"(3.236, 3.494]","(3.236, 3.365]"
9.4,0.4,0.47,3.15,0.5,10.5,5,Red,"(2.978, 3.236]","(3.107, 3.236]"
8.6,0.52,0.38,3.2,0.52,9.4,5,Red,"(2.978, 3.236]","(3.107, 3.236]"
8.0,0.31,0.45,3.15,0.81,12.5,7,Red,"(2.978, 3.236]","(3.107, 3.236]"
8.4,0.34,0.42,3.11,0.78,12.4,6,Red,"(2.978, 3.236]","(3.107, 3.236]"
7.4,0.49,0.27,3.35,0.63,12.0,6,Red,"(3.236, 3.494]","(3.236, 3.365]"
6.1,0.48,0.09,3.45,0.54,11.2,6,Red,"(3.236, 3.494]","(3.365, 3.494]"
8.0,0.48,0.34,3.28,0.66,12.4,6,Red,"(3.236, 3.494]","(3.236, 3.365]"
6.3,0.57,0.28,3.41,0.6,12.8,5,Red,"(3.236, 3.494]","(3.365, 3.494]"
8.2,0.23,0.42,3.21,0.54,12.3,6,Red,"(2.978, 3.236]","(3.107, 3.236]"
9.1,0.3,0.41,3.27,0.85,11.7,7,Red,"(3.236, 3.494]","(3.236, 3.365]"
8.1,0.78,0.1,3.36,0.49,9.5,5,Red,"(3.236, 3.494]","(3.236, 3.365]"
10.8,0.47,0.43,3.17,0.76,10.8,6,Red,"(2.978, 3.236]","(3.107, 3.236]"
8.3,0.53,0.0,3.25,0.64,10.0,6,Red,"(3.236, 3.494]","(3.236, 3.365]"
5.4,0.42,0.27,3.78,0.64,12.3,7,Red,"(3.752, 4.01]","(3.752, 3.881]"
7.9,0.33,0.41,3.29,0.71,11.0,6,Red,"(3.236, 3.494]","(3.236, 3.365]"
8.9,0.24,0.39,3.12,0.59,9.5,6,Red,"(2.978, 3.236]","(3.107, 3.236]"
5.0,0.4,0.5,3.49,0.66,13.6,6,Red,"(3.236, 3.494]","(3.365, 3.494]"
7.0,0.69,0.07,3.38,0.6,11.3,6,Red,"(3.236, 3.494]","(3.365, 3.494]"
7.1,0.39,0.12,3.3,0.53,13.3,6,Red,"(3.236, 3.494]","(3.236, 3.365]"
5.6,0.66,0.0,3.52,0.58,12.9,5,Red,"(3.494, 3.752]","(3.494, 3.623]"
7.9,0.54,0.34,3.2,0.72,13.1,8,Red,"(2.978, 3.236]","(3.107, 3.236]"
6.6,0.5,0.0,3.44,0.55,12.3,6,Red,"(3.236, 3.494]","(3.365, 3.494]"
6.3,0.47,0.0,3.45,0.48,12.3,6,Red,"(3.236, 3.494]","(3.365, 3.494]"
10.7,0.4,0.37,3.12,0.65,11.2,6,Red,"(2.978, 3.236]","(3.107, 3.236]"
6.5,0.58,0.0,3.62,0.62,11.5,4,Red,"(3.494, 3.752]","(3.494, 3.623]"
8.8,0.24,0.35,3.14,0.59,11.3,7,Red,"(2.978, 3.236]","(3.107, 3.236]"
5.8,0.29,0.26,3.39,0.54,13.5,6,Red,"(3.236, 3.494]","(3.365, 3.494]"
6.3,0.76,0.0,3.51,0.6,11.5,6,Red,"(3.494, 3.752]","(3.494, 3.623]"
10.0,0.43,0.33,3.22,0.68,10.0,5,Red,"(2.978, 3.236]","(3.107, 3.236]"
10.5,0.43,0.35,3.21,0.69,10.5,6,Red,"(2.978, 3.236]","(3.107, 3.236]"
9.1,0.6,0.0,3.18,0.63,10.4,6,Red,"(2.978, 3.236]","(3.107, 3.236]"
5.9,0.19,0.21,3.32,0.44,9.5,5,Red,"(3.236, 3.494]","(3.236, 3.365]"
7.4,0.36,0.34,3.38,0.88,13.6,7,Red,"(3.236, 3.494]","(3.365, 3.494]"
7.2,0.48,0.07,3.37,0.68,11.2,7,Red,"(3.236, 3.494]","(3.365, 3.494]"
8.5,0.28,0.35,3.3,0.74,11.8,7,Red,"(3.236, 3.494]","(3.236, 3.365]"
8.0,0.25,0.43,3.38,0.6,11.9,6,Red,"(3.236, 3.494]","(3.365, 3.494]"
10.4,0.52,0.45,3.22,0.76,11.4,6,Red,"(2.978, 3.236]","(3.107, 3.236]"
7.5,0.41,0.15,3.14,0.58,9.1,5,Red,"(2.978, 3.236]","(3.107, 3.236]"
8.2,0.51,0.24,3.34,0.64,9.5,6,Red,"(3.236, 3.494]","(3.236, 3.365]"
7.3,0.4,0.3,3.41,0.65,9.5,6,Red,"(3.236, 3.494]","(3.365, 3.494]"
8.2,0.38,0.32,3.27,0.85,11.0,6,Red,"(3.236, 3.494]","(3.236, 3.365]"
6.9,0.45,0.11,3.3,0.65,11.4,6,Red,"(3.236, 3.494]","(3.236, 3.365]"
7.0,0.22,0.3,3.61,0.82,10.0,6,Red,"(3.494, 3.752]","(3.494, 3.623]"
7.3,0.32,0.23,3.43,0.62,10.1,5,Red,"(3.236, 3.494]","(3.365, 3.494]"
8.2,0.2,0.43,3.53,0.81,10.4,6,Red,"(3.494, 3.752]","(3.494, 3.623]"
7.8,0.5,0.12,3.28,0.87,9.8,6,Red,"(3.236, 3.494]","(3.236, 3.365]"
10.0,0.41,0.45,3.21,0.49,11.8,7,Red,"(2.978, 3.236]","(3.107, 3.236]"
7.8,0.39,0.42,3.39,0.66,11.6,6,Red,"(3.236, 3.494]","(3.365, 3.494]"
10.0,0.35,0.47,3.23,0.52,12.0,6,Red,"(2.978, 3.236]","(3.107, 3.236]"
8.2,0.33,0.32,3.3,0.76,12.8,7,Red,"(3.236, 3.494]","(3.236, 3.365]"
6.1,0.58,0.23,3.46,0.65,12.5,6,Red,"(3.236, 3.494]","(3.365, 3.494]"
8.3,0.6,0.25,3.15,0.53,9.8,5,Red,"(2.978, 3.236]","(3.107, 3.236]"
9.6,0.42,0.35,3.23,0.66,11.1,6,Red,"(2.978, 3.236]","(3.107, 3.236]"
6.6,0.58,0.0,3.59,0.68,11.4,6,Red,"(3.494, 3.752]","(3.494, 3.623]"
8.5,0.18,0.51,3.33,0.76,11.8,7,Red,"(3.236, 3.494]","(3.236, 3.365]"
5.1,0.51,0.18,3.46,0.87,12.9,7,Red,"(3.236, 3.494]","(3.365, 3.494]"
6.7,0.41,0.43,3.42,1.16,10.6,6,Red,"(3.236, 3.494]","(3.365, 3.494]"
10.2,0.41,0.43,3.16,0.67,10.8,5,Red,"(2.978, 3.236]","(3.107, 3.236]"
10.6,0.36,0.57,3.14,0.72,11.1,7,Red,"(2.978, 3.236]","(3.107, 3.236]"
8.8,0.45,0.43,3.21,0.75,10.2,6,Red,"(2.978, 3.236]","(3.107, 3.236]"
8.5,0.32,0.42,3.14,0.71,11.8,7,Red,"(2.978, 3.236]","(3.107, 3.236]"
9.0,0.785,0.24,3.29,0.67,10.0,5,Red,"(3.236, 3.494]","(3.236, 3.365]"
8.5,0.44,0.5,3.01,1.1,9.4,5,Red,"(2.978, 3.236]","(2.978, 3.107]"
9.9,0.54,0.26,2.94,0.98,10.2,5,Red,"(2.719, 2.978]","(2.849, 2.978]"
8.2,0.33,0.39,3.32,0.88,12.4,7,Red,"(3.236, 3.494]","(3.236, 3.365]"
6.5,0.34,0.27,3.21,0.56,12.0,6,Red,"(2.978, 3.236]","(3.107, 3.236]"
7.6,0.5,0.29,3.32,0.62,11.5,6,Red,"(3.236, 3.494]","(3.236, 3.365]"
9.2,0.36,0.34,3.2,0.67,10.5,6,Red,"(2.978, 3.236]","(3.107, 3.236]"
7.1,0.59,0.0,3.42,0.68,10.8,6,Red,"(3.236, 3.494]","(3.365, 3.494]"
9.7,0.42,0.46,3.27,0.74,12.3,6,Red,"(3.236, 3.494]","(3.236, 3.365]"
7.6,0.36,0.31,3.46,0.62,9.5,6,Red,"(3.236, 3.494]","(3.365, 3.494]"
6.5,0.61,0.0,3.61,0.7,11.5,6,Red,"(3.494, 3.752]","(3.494, 3.623]"
6.5,0.88,0.03,3.58,0.5,11.2,4,Red,"(3.494, 3.752]","(3.494, 3.623]"
7.1,0.66,0.0,3.35,0.66,12.7,7,Red,"(3.236, 3.494]","(3.236, 3.365]"
5.6,0.915,0.0,3.68,0.73,11.4,5,Red,"(3.494, 3.752]","(3.623, 3.752]"
8.2,0.35,0.33,3.27,0.81,11.0,6,Red,"(3.236, 3.494]","(3.236, 3.365]"
9.8,0.39,0.43,3.19,0.46,11.4,5,Red,"(2.978, 3.236]","(3.107, 3.236]"
10.2,0.4,0.4,3.38,0.86,10.5,6,Red,"(3.236, 3.494]","(3.365, 3.494]"
6.8,0.66,0.07,3.29,0.6,9.3,5,Red,"(3.236, 3.494]","(3.236, 3.365]"
6.7,0.64,0.23,3.36,0.7,10.9,5,Red,"(3.236, 3.494]","(3.236, 3.365]"
7.0,0.43,0.3,3.33,0.46,11.9,6,Red,"(3.236, 3.494]","(3.236, 3.365]"
6.6,0.8,0.03,3.52,0.5,12.2,5,Red,"(3.494, 3.752]","(3.494, 3.623]"
8.8,0.955,0.05,3.3,0.44,9.6,4,Red,"(3.236, 3.494]","(3.236, 3.365]"
9.1,0.4,0.57,3.28,0.57,12.5,6,Red,"(3.236, 3.494]","(3.236, 3.365]"
6.5,0.885,0.0,3.56,0.51,10.8,5,Red,"(3.494, 3.752]","(3.494, 3.623]"
7.2,0.25,0.37,3.52,0.8,12.4,7,Red,"(3.494, 3.752]","(3.494, 3.623]"
6.4,0.885,0.0,3.56,0.51,10.8,5,Red,"(3.494, 3.752]","(3.494, 3.623]"
7.0,0.745,0.12,3.22,0.59,9.5,6,Red,"(2.978, 3.236]","(3.107, 3.236]"
6.2,0.43,0.22,3.52,0.6,9.5,6,Red,"(3.494, 3.752]","(3.494, 3.623]"
7.9,0.58,0.23,3.21,0.58,9.5,6,Red,"(2.978, 3.236]","(3.107, 3.236]"
7.7,0.57,0.21,3.16,0.54,9.8,6,Red,"(2.978, 3.236]","(3.107, 3.236]"
7.7,0.26,0.26,3.15,0.79,10.9,6,Red,"(2.978, 3.236]","(3.107, 3.236]"
7.9,0.34,0.36,3.27,0.54,11.2,7,Red,"(3.236, 3.494]","(3.236, 3.365]"
8.6,0.42,0.39,3.35,0.69,11.7,8,Red,"(3.236, 3.494]","(3.236, 3.365]"
9.9,0.74,0.19,3.14,0.55,9.4,5,Red,"(2.978, 3.236]","(3.107, 3.236]"
7.2,0.36,0.46,3.4,0.85,11.0,7,Red,"(3.236, 3.494]","(3.365, 3.494]"
9.9,0.72,0.55,3.35,0.94,10.0,5,Red,"(3.236, 3.494]","(3.236, 3.365]"
6.2,0.39,0.43,3.45,0.87,11.2,7,Red,"(3.236, 3.494]","(3.365, 3.494]"
6.8,0.65,0.02,3.35,0.62,10.4,6,Red,"(3.236, 3.494]","(3.236, 3.365]"
6.6,0.44,0.15,3.32,0.62,9.3,5,Red,"(3.236, 3.494]","(3.236, 3.365]"
9.6,0.38,0.42,3.15,0.75,10.5,6,Red,"(2.978, 3.236]","(3.107, 3.236]"
10.2,0.33,0.46,3.1,0.48,10.4,6,Red,"(2.978, 3.236]","(2.978, 3.107]"
8.8,0.27,0.46,3.26,0.56,11.3,6,Red,"(3.236, 3.494]","(3.236, 3.365]"
7.9,0.57,0.31,3.29,0.69,9.5,6,Red,"(3.236, 3.494]","(3.236, 3.365]"
8.2,0.34,0.37,3.23,0.81,12.0,6,Red,"(2.978, 3.236]","(3.107, 3.236]"
8.2,0.4,0.31,3.24,0.69,10.6,6,Red,"(3.236, 3.494]","(3.236, 3.365]"
9.0,0.39,0.4,3.2,0.83,10.9,6,Red,"(2.978, 3.236]","(3.107, 3.236]"
10.9,0.32,0.52,3.28,0.77,11.5,6,Red,"(3.236, 3.494]","(3.236, 3.365]"
8.1,0.53,0.22,3.26,0.46,9.6,6,Red,"(3.236, 3.494]","(3.236, 3.365]"
10.5,0.36,0.47,3.23,0.76,12.0,6,Red,"(2.978, 3.236]","(3.107, 3.236]"
12.6,0.39,0.49,3.07,0.82,10.3,6,Red,"(2.978, 3.236]","(2.978, 3.107]"
9.2,0.46,0.23,3.15,0.51,9.4,5,Red,"(2.978, 3.236]","(3.107, 3.236]"
7.5,0.58,0.03,3.02,0.47,9.2,5,Red,"(2.978, 3.236]","(2.978, 3.107]"
9.0,0.58,0.25,3.27,0.72,9.6,5,Red,"(3.236, 3.494]","(3.236, 3.365]"
5.1,0.42,0.0,3.68,0.73,13.6,7,Red,"(3.494, 3.752]","(3.623, 3.752]"
7.6,0.43,0.29,3.4,0.64,9.5,5,Red,"(3.236, 3.494]","(3.365, 3.494]"
7.7,0.18,0.34,3.37,0.78,11.8,6,Red,"(3.236, 3.494]","(3.365, 3.494]"
7.8,0.815,0.01,3.38,0.62,10.8,5,Red,"(3.236, 3.494]","(3.365, 3.494]"
10.2,0.23,0.37,3.23,0.49,9.3,4,Red,"(2.978, 3.236]","(3.107, 3.236]"
7.1,0.75,0.01,3.39,0.4,12.8,6,Red,"(3.236, 3.494]","(3.365, 3.494]"
6.0,0.33,0.32,3.3,0.56,11.5,4,Red,"(3.236, 3.494]","(3.236, 3.365]"
7.8,0.55,0.0,3.26,0.64,9.4,6,Red,"(3.236, 3.494]","(3.236, 3.365]"
8.1,0.73,0.0,3.38,0.46,9.6,4,Red,"(3.236, 3.494]","(3.365, 3.494]"
6.5,0.67,0.0,3.45,0.56,11.8,4,Red,"(3.236, 3.494]","(3.365, 3.494]"
7.5,0.61,0.2,3.1,0.4,9.3,5,Red,"(2.978, 3.236]","(2.978, 3.107]"
9.8,0.37,0.39,3.16,0.59,9.8,5,Red,"(2.978, 3.236]","(3.107, 3.236]"
9.0,0.4,0.41,3.22,0.6,12.2,6,Red,"(2.978, 3.236]","(3.107, 3.236]"
8.3,0.56,0.22,3.37,0.62,9.5,5,Red,"(3.236, 3.494]","(3.365, 3.494]"
5.9,0.29,0.25,3.33,0.54,10.3,6,Red,"(3.236, 3.494]","(3.236, 3.365]"
7.4,0.55,0.19,3.49,0.68,10.5,5,Red,"(3.236, 3.494]","(3.365, 3.494]"
7.4,0.74,0.07,3.12,0.48,10.0,5,Red,"(2.978, 3.236]","(3.107, 3.236]"
6.9,0.41,0.33,3.41,0.75,11.1,6,Red,"(3.236, 3.494]","(3.365, 3.494]"
7.1,0.6,0.01,3.4,0.61,10.9,6,Red,"(3.236, 3.494]","(3.365, 3.494]"
7.5,0.58,0.14,3.28,0.59,9.8,5,Red,"(3.236, 3.494]","(3.236, 3.365]"
7.1,0.72,0.0,3.45,0.58,9.8,5,Red,"(3.236, 3.494]","(3.365, 3.494]"
7.9,0.66,0.0,3.43,0.58,9.5,5,Red,"(3.236, 3.494]","(3.365, 3.494]"
7.8,0.7,0.06,3.4,0.69,10.9,5,Red,"(3.236, 3.494]","(3.365, 3.494]"
6.1,0.64,0.02,3.47,0.45,11.0,5,Red,"(3.236, 3.494]","(3.365, 3.494]"
7.5,0.59,0.22,3.1,0.42,9.2,5,Red,"(2.978, 3.236]","(2.978, 3.107]"
7.0,0.58,0.28,3.32,0.7,11.0,6,Red,"(3.236, 3.494]","(3.236, 3.365]"
6.8,0.64,0.0,3.44,0.63,11.3,6,Red,"(3.236, 3.494]","(3.365, 3.494]"
8.6,0.635,0.68,3.02,1.15,9.3,5,Red,"(2.978, 3.236]","(2.978, 3.107]"
6.3,1.02,0.0,3.59,0.55,11.2,4,Red,"(3.494, 3.752]","(3.494, 3.623]"
9.8,0.45,0.38,3.15,0.58,9.8,5,Red,"(2.978, 3.236]","(3.107, 3.236]"
8.2,0.78,0.0,3.37,0.46,9.6,4,Red,"(3.236, 3.494]","(3.365, 3.494]"
8.5,0.37,0.32,3.38,0.72,11.8,6,Red,"(3.236, 3.494]","(3.365, 3.494]"
7.2,0.57,0.05,3.38,0.6,10.3,6,Red,"(3.236, 3.494]","(3.365, 3.494]"
10.4,0.43,0.5,3.1,0.87,11.4,6,Red,"(2.978, 3.236]","(2.978, 3.107]"
6.9,0.41,0.31,3.47,0.55,9.5,6,Red,"(3.236, 3.494]","(3.365, 3.494]"
5.5,0.49,0.03,3.5,0.82,14.0,8,Red,"(3.494, 3.752]","(3.494, 3.623]"
5.0,0.38,0.01,3.7,0.75,14.0,6,Red,"(3.494, 3.752]","(3.623, 3.752]"
7.3,0.44,0.2,3.38,0.57,11.7,6,Red,"(3.236, 3.494]","(3.365, 3.494]"
5.9,0.46,0.0,3.5,0.53,11.2,5,Red,"(3.494, 3.752]","(3.494, 3.623]"
7.5,0.58,0.2,3.1,0.43,9.3,5,Red,"(2.978, 3.236]","(2.978, 3.107]"
7.8,0.58,0.13,3.24,0.53,11.2,6,Red,"(3.236, 3.494]","(3.236, 3.365]"
8.0,0.715,0.22,3.24,0.54,9.5,6,Red,"(3.236, 3.494]","(3.236, 3.365]"
8.5,0.4,0.4,3.28,0.56,12.0,4,Red,"(3.236, 3.494]","(3.236, 3.365]"
7.0,0.69,0.0,3.35,0.6,9.7,6,Red,"(3.236, 3.494]","(3.236, 3.365]"
9.8,0.3,0.39,3.14,0.57,11.5,7,Red,"(2.978, 3.236]","(3.107, 3.236]"
7.1,0.46,0.2,3.37,0.64,10.4,6,Red,"(3.236, 3.494]","(3.365, 3.494]"
7.9,0.765,0.0,3.33,0.68,10.9,6,Red,"(3.236, 3.494]","(3.236, 3.365]"
8.7,0.63,0.28,3.26,0.63,10.2,6,Red,"(3.236, 3.494]","(3.236, 3.365]"
7.0,0.42,0.19,3.39,0.56,10.9,5,Red,"(3.236, 3.494]","(3.365, 3.494]"
11.3,0.37,0.5,3.15,0.57,10.5,5,Red,"(2.978, 3.236]","(3.107, 3.236]"
7.1,0.16,0.44,3.35,0.54,12.4,6,Red,"(3.236, 3.494]","(3.236, 3.365]"
8.0,0.6,0.08,3.22,0.37,13.0,5,Red,"(2.978, 3.236]","(3.107, 3.236]"
7.0,0.6,0.3,3.3,1.17,10.2,5,Red,"(3.236, 3.494]","(3.236, 3.365]"
7.6,0.74,0.0,3.36,0.59,11.0,5,Red,"(3.236, 3.494]","(3.236, 3.365]"
8.2,0.635,0.1,3.29,0.75,10.9,6,Red,"(3.236, 3.494]","(3.236, 3.365]"
5.9,0.395,0.13,3.62,0.67,12.4,6,Red,"(3.494, 3.752]","(3.494, 3.623]"
7.5,0.755,0.0,3.34,0.49,9.7,4,Red,"(3.236, 3.494]","(3.236, 3.365]"
6.6,0.63,0.0,3.2,0.45,9.5,5,Red,"(2.978, 3.236]","(3.107, 3.236]"
7.2,0.53,0.14,3.35,0.61,12.1,6,Red,"(3.236, 3.494]","(3.236, 3.365]"
5.7,0.6,0.0,3.45,0.56,12.2,6,Red,"(3.236, 3.494]","(3.365, 3.494]"
7.6,1.58,0.0,3.5,0.4,10.9,3,Red,"(3.494, 3.752]","(3.494, 3.623]"
5.2,0.645,0.0,3.78,0.61,12.5,6,Red,"(3.752, 4.01]","(3.752, 3.881]"
6.7,0.86,0.07,3.6,0.74,11.7,6,Red,"(3.494, 3.752]","(3.494, 3.623]"
9.1,0.37,0.32,3.3,0.8,11.2,6,Red,"(3.236, 3.494]","(3.236, 3.365]"
8.0,0.28,0.44,3.36,0.66,11.2,5,Red,"(3.236, 3.494]","(3.236, 3.365]"
7.6,0.79,0.21,3.12,0.44,9.2,5,Red,"(2.978, 3.236]","(3.107, 3.236]"
7.5,0.61,0.26,3.3,0.53,9.8,5,Red,"(3.236, 3.494]","(3.236, 3.365]"
9.7,0.69,0.32,3.29,0.62,10.1,5,Red,"(3.236, 3.494]","(3.236, 3.365]"
6.8,0.68,0.09,3.41,0.52,11.1,4,Red,"(3.236, 3.494]","(3.365, 3.494]"
7.0,0.62,0.1,3.28,0.61,9.2,5,Red,"(3.236, 3.494]","(3.236, 3.365]"
6.5,0.51,0.15,3.33,0.59,12.8,6,Red,"(3.236, 3.494]","(3.236, 3.365]"
8.0,1.18,0.21,3.34,0.47,10.5,5,Red,"(3.236, 3.494]","(3.236, 3.365]"
7.0,0.36,0.21,3.4,0.54,10.1,6,Red,"(3.236, 3.494]","(3.365, 3.494]"
7.0,0.36,0.21,3.4,0.53,10.1,6,Red,"(3.236, 3.494]","(3.365, 3.494]"
7.5,0.63,0.27,3.26,0.58,9.8,6,Red,"(3.236, 3.494]","(3.236, 3.365]"
5.4,0.74,0.0,4.01,0.59,12.5,6,Red,"(3.752, 4.01]","(3.881, 4.01]"
9.9,0.44,0.46,3.18,0.69,11.9,6,Red,"(2.978, 3.236]","(3.107, 3.236]"
9.1,0.76,0.68,2.9,1.33,9.1,6,Red,"(2.719, 2.978]","(2.849, 2.978]"
9.7,0.66,0.34,3.26,0.66,10.1,5,Red,"(3.236, 3.494]","(3.236, 3.365]"
5.0,0.74,0.0,4.01,0.59,12.5,6,Red,"(3.752, 4.01]","(3.881, 4.01]"
9.1,0.34,0.42,3.18,0.55,11.4,5,Red,"(2.978, 3.236]","(3.107, 3.236]"
9.1,0.36,0.39,3.18,0.82,11.0,7,Red,"(2.978, 3.236]","(3.107, 3.236]"
6.7,0.46,0.24,3.39,0.6,10.6,6,Red,"(3.236, 3.494]","(3.365, 3.494]"
6.5,0.52,0.11,3.34,0.52,9.3,5,Red,"(3.236, 3.494]","(3.236, 3.365]"
7.4,0.6,0.26,3.29,0.56,9.8,6,Red,"(3.236, 3.494]","(3.236, 3.365]"
7.8,0.87,0.26,3.26,0.46,9.2,5,Red,"(3.236, 3.494]","(3.236, 3.365]"
8.4,0.39,0.1,3.09,0.43,9.7,6,Red,"(2.978, 3.236]","(2.978, 3.107]"
9.1,0.775,0.22,3.18,0.51,9.6,5,Red,"(2.978, 3.236]","(3.107, 3.236]"
7.2,0.835,0.0,3.39,0.52,10.0,5,Red,"(3.236, 3.494]","(3.365, 3.494]"
6.6,0.58,0.02,3.38,0.66,12.6,6,Red,"(3.236, 3.494]","(3.365, 3.494]"
